layer	module	phenotype	test	levels_or_n	effect	p	fdr
CGM	CGM_1	mol.biol	anova	4	6.482072031093963	0.00041619154119861647	0.0033295323295889317
CGM	CGM_0	age	spearman	123	0.2249931898826323	0.01234996595424686	0.04939986381698744
CGM	CGM_1	age	spearman	123	0.2019198609349519	0.025113244852539046	0.06696865294010412
CGM	CGM_1	BT	anova	8	2.257793466667756	0.034296694790883646	0.06859338958176729
CGM	CGM_0	mol.biol	anova	4	2.0382773489435073	0.11205892244930124	0.17929427591888197
CGM	CGM_0	BT	anova	8	1.0615200256546404	0.3927381120313682	0.4477807737653695
CGM	CGM_0	sex	anova	3	1.0718544408922388	0.34549841839192863	0.4477807737653695
CGM	CGM_1	sex	anova	3	0.8086379858533094	0.4477807737653695	0.4477807737653695
FGM	FGM_0	mol.biol	anova	4	67.5566978077981	8.270134114627422e-26	2.3156375520956783e-24
FGM	FGM_6	BT	anova	8	22.391321700365904	5.510163358692948e-19	7.714228702170127e-18
FGM	FGM_0	BT	anova	8	10.500383730597637	3.4523721541419434e-10	3.2222140105324806e-09
FGM	FGM_2	BT	anova	8	9.841905653358237	1.3141352336722392e-09	9.198946635705674e-09
FGM	FGM_4	BT	anova	8	6.517074097080325	1.7007721345635315e-06	9.524323953555776e-06
FGM	FGM_3	BT	anova	8	5.747527642052969	9.84005979501104e-06	4.5920279043384855e-05
FGM	FGM_2	mol.biol	anova	4	8.33935451998315	4.342414120928638e-05	0.00017369656483714552
FGM	FGM_6	mol.biol	anova	4	6.982643271424116	0.00022490030233181355	0.0007871510581613474
FGM	FGM_1	BT	anova	8	4.004313017379185	0.0005811342475795236	0.0018079732146918511
FGM	FGM_5	BT	anova	8	3.1186869875317127	0.004701924850602369	0.013165389581686632
FGM	FGM_4	mol.biol	anova	4	2.37553377073626	0.07336633632513949	0.18675067428217326
FGM	FGM_3	mol.biol	anova	4	2.198187154117316	0.09171094522318736	0.1975312666345574
FGM	FGM_4	age	spearman	123	-0.15519564383365694	0.08652319357191214	0.1975312666345574
FGM	FGM_1	age	spearman	123	-0.12010327554461034	0.18576736550258358	0.37153473100516715
FGM	FGM_3	sex	anova	3	1.569918792067031	0.21213642147160128	0.39598798674698904
FGM	FGM_5	age	spearman	123	-0.10823265923940599	0.23341572608377062	0.4084775206465986
FGM	FGM_2	sex	anova	3	1.3518287922948744	0.26252296673380815	0.43239076873803695
FGM	FGM_3	age	spearman	123	-0.06080504601021363	0.5040738225170822	0.7841148350265724
FGM	FGM_0	age	spearman	123	-0.04438171440013205	0.6259525271003106	0.8353608090568045
FGM	FGM_6	sex	anova	3	0.4251146942137393	0.6546363182280044	0.8353608090568045
FGM	FGM_1	mol.biol	anova	4	0.5391580712680151	0.656354921401775	0.8353608090568045
FGM	FGM_0	sex	anova	3	0.5445699708557705	0.5814610967744913	0.8353608090568045
FGM	FGM_4	sex	anova	3	0.24168408709405068	0.7856703326203571	0.8467373330199457
FGM	FGM_5	mol.biol	anova	4	0.47693136149811327	0.6989208862512228	0.8467373330199457
FGM	FGM_5	sex	anova	3	0.26272133842633877	0.769379678648838	0.8467373330199457
FGM	FGM_6	age	spearman	123	0.024699529169975344	0.7862560949470925	0.8467373330199457
FGM	FGM_1	sex	anova	3	0.15018828247348184	0.8607009884705427	0.8925788028583406
FGM	FGM_2	age	spearman	123	0.009954023186071055	0.9129875696722624	0.9129875696722624
